id,severity,status,category,affected_contract,source_system,destination_system,reproduction_evidence,data_impact,systemic_cause,decision,owner,target_version,regression_evidence_required
INT-P1-001,P1,OPEN,IMPLEMENTATION_GAP,SM_GE_PRODUCT_EVENT_V1,SCOREMAX,GROWTH_ENGINE,Existing universal_growth_event_outbox only captures PENDING rows; no packaged dispatcher/delivery transition was found.,Growth events do not reach Growth reliably.,Outbox capture implemented without transport worker.,Extend existing outbox and add one governed dispatcher/attempt ledger.,SCOREMAX,Next integration build,Retry/outage/receipt tests; existing 605 regression passes.
INT-P1-002,P1,OPEN,INTEGRITY,SM_GE_PRODUCT_EVENT_V1,SCOREMAX,GROWTH_ENGINE,Current event identity includes emission time; replay of the same business fact at a later time can create a new event ID.,Duplicate CRM/referral/commercial side effects.,Technical event identity not pinned to immutable business transition.,Add business idempotency_key/event_id uniqueness tied to transaction/state transition.,SCOREMAX,Next integration build,Concurrent duplicate event attack produces one receiver effect.
INT-P1-003,P1,OPEN,IMPLEMENTATION_GAP,PH_SM_APPROVED_CONTENT_V1,POWER_HOUSE,SCOREMAX,Emergency Direct Intake is Draft/inactive and universal mappings are QA_SANDBOX_ONLY/CANDIDATE.,No permanent governed Power House machine admission route.,Continuity workbook path is being asked to carry a different responsibility.,Add separate governed release-package adapter while retaining Emergency Direct Intake unchanged.,POWER_HOUSE + SCOREMAX,Next integration builds,"Real approved chapter crosses without manual mapping; 300/1,500 scale."
INT-P1-004,P1,OPEN,INTEGRITY,PH_SM_APPROVED_CONTENT_V1,POWER_HOUSE,SCOREMAX,Attempts store internal question/version fields but not exact Power House external version/checksum snapshot.,Changed content could contaminate active sessions or historical evidence.,External academic version not pinned at session assembly and answer recording.,Persist immutable PH question versions; snapshot every session question and attempt answer.,SCOREMAX,Next integration build,Change-version race test preserves old session marking/evidence.
INT-P1-005,P1,OPEN,IMPLEMENTATION_GAP,SM_PH_DELIVERY_EVIDENCE_V1; SM_PH_CONTENT_REQUIREMENT_V1,SCOREMAX,POWER_HOUSE,Existing blueprint/content requirement capabilities are local; governed outbound academic telemetry is absent.,Power House receives no governed performance/coverage feedback.,No academic outbox contract.,Add privacy-minimised aggregate evidence/content-requirement outbox using common dispatcher.,SCOREMAX,Next integration build,"Exact version, minimum-N suppression, retry and duplicate tests."
INT-P1-006,P1,OPEN,IMPLEMENTATION_GAP,PH_SM_APPROVED_CONTENT_V1,POWER_HOUSE,SCOREMAX,Current ScoreMax-ready export is flat XLSX and includes internal database ID.,Not a versioned immutable machine contract; risks identity leakage.,Human/file export predates service integration.,"Build frozen JSON manifest/package from existing readiness, version and registry layers; retain XLSX export unchanged.",POWER_HOUSE,Next integration build,Package checksum/version/blocked-item/opaque-ID tests.
INT-P1-007,P1,OPEN,IMPLEMENTATION_GAP,SM_PH_DELIVERY_EVIDENCE_V1; SM_PH_CONTENT_REQUIREMENT_V1; GE_PH_DEMAND_SIGNAL_V1,SCOREMAX/GROWTH_ENGINE,POWER_HOUSE,No service-authenticated integration inbox/routes/storage found.,Inbound evidence/signals cannot be safely accepted or audited.,Integration boundary not yet implemented.,"Add additive migration 0023, inbox/receipt/attempt tables, routes and Action Centre projections.",POWER_HOUSE,Next integration build,Auth/schema/duplicate/quarantine/no-auto-rewrite tests.
INT-P1-008,P1,OPEN,OPERABILITY,ALL,POWER_HOUSE,ALL,Power House has no contract health/outbox surface.,Operators cannot detect delayed/failed integrations.,Existing dashboard not yet extended for integration exceptions.,Extend existing Dashboard/Activity Status; no new dashboard.,POWER_HOUSE,Next integration build,Health state and operator recovery tests.
INT-P1-009,P1,OPEN,INTEGRITY,SM_GE_PRODUCT_EVENT_V1,SCOREMAX,GROWTH_ENGINE,Growth /api/events inserts each delivery then mutates CRM/lifecycle in the same transaction without external event uniqueness.,Duplicate replay can duplicate event and downstream state.,Legacy browser event intake lacks governed receipt/idempotency layer.,Add one idempotent receipt processor; route legacy and machine intake through it.,GROWTH_ENGINE,Next integration build,20+ concurrent duplicate deliveries produce one event and one side effect.
INT-P1-010,P1,OPEN,SECURITY,SM_GE_PRODUCT_EVENT_V1; PH_GE_ACADEMIC_CATALOG_V1,SCOREMAX/POWER_HOUSE,GROWTH_ENGINE,FastAPI catch-all protects paths using browser session; no scoped service principal route.,Machine callers cannot authenticate safely or may be forced through inappropriate session auth.,Production gateway has user auth but no service-to-service contract auth.,"Declare integration routes before catch-all with bearer scope, HMAC, replay checks and audit.",GROWTH_ENGINE,Next integration build,401/403/scope/signature/replay/rotation tests.
